feature	pathway	gene_signature_definition
6	Sulfur metabolism PAO1	PA0282;PA4443;PA3936;PA3445;PA3442;PA3446;PA1756;PA1838;PA3449;PA0280;PA3443;PA3935;PA0283;PA0281;PA0518;PA2594;PA3444;PA3937;PA3938;PA4442
7	Fatty acid metabolism PAO1	PA4089
7	Urea transport system	PA4859
7	Porphyrin and chlorophyll metabolism PAO1	PA4088
7	Phosphonate and phosphinate metabolism PAO1	PA3379
7	Glyoxylate and dicarboxylate metabolism PAO1	PA5354
7	Sulfonate transport system	PA3449
7	Butanoate metabolism PAO1	PA3589;PA1146;PA3590
7	Folate biosynthesis PAO1	PA3914;PA5539
7	Spermidine/putrescine transport system	PA0324;PA0325
7	Quorum sensing PAO1	PA0222;PA0844
7	Nitrogen metabolism PAO1	PA3877
7	ABC-2 type transport system	PA4038
7	Pyrimidine metabolism PAO1	PA5541
8	Lysine biosynthesis PAO1	PA4188
8	Nicotinate and nicotinamide metabolism PAO1	PA1602
8	Arginine and proline metabolism PAO1	PA4773;PA4163;PA4774;PA0293
8	Tyrosine metabolism PAO1	PA4127;PA4128;PA4122;PA4125;PA4123;PA4124;PA4121
8	Fructose and mannose metabolism PAO1	PA3547;PA3541;PA3545
8	Type VI secretion system	PA0083;PA0091;PA2685;PA0089;PA0082;PA0077;PA0088;PA0079;PA0084;PA0085;PA0080;PA0078;PA0090;PA0087
8	Histidine metabolism PAO1	PA5100;PA5106;PA5098
8	Glyoxylate and dicarboxylate metabolism PAO1	PA5420
8	Bacterial secretion system PAO1	PA0074;PA0081;PA0075
8	Flagellar assembly PAO1	PA1078;PA1079
8	Butanoate metabolism PAO1	PA4180;PA4153
8	Imipenem resistance, repression of porin OprD	PA0958
8	Fatty acid biosynthesis, elongation	PA3333
8	Glycine betaine/proline transport system	PA3236;PA5096
8	Amino sugar and nucleotide sugar metabolism PAO1	PA3540;PA3559
8	Quorum sensing PAO1	PA1073
8	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3558;PA3556
8	Citrate cycle (TCA cycle) PAO1	PA4152
8	Oxidative phosphorylation PAO1	PA4133
8	Methane metabolism PAO1	PA5421
8	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA3555;PA1179;PA3552;PA3553;PA3557;PA1180
8	Sulfur metabolism PAO1	PA3444;PA3938;PA3443;PA3442;PA3446
9	Phosphotransferase system (PTS) PAO1	PA4464
9	Lysine biosynthesis PAO1	PA4417;PA1010
9	Fatty acid metabolism PAO1	PA4089;PA4994;PA3645
9	Pentose phosphate pathway PAO1	PA3896
9	Leucine degradation, leucine => acetoacetate + acetyl-CoA	PA5013
9	RNA degradation PAO1	PA4944
9	Ribosome PAO1	PA4433;PA4741;PA0579;PA4257;PA2970;PA5316;PA4671;PA4249;PA4240;PA4244;PA2741;PA4239;PA4241;PA4262;PA4247
9	Bacterial chemotaxis PAO1	PA3348;PA1457
9	Aminoglycoside resistance, protease FtsH	PA4751
9	Glyoxylate and dicarboxylate metabolism PAO1	PA2634
9	Bacterial secretion system PAO1	PA4243;PA2675;PA2674
9	Ribosome, bacteria	PA4242;PA3162;PA4252;PA5570;PA3742;PA4255;PA3656;PA4268;PA3745;PA4254;PA4273;PA4245
9	Spermidine/putrescine transport system	PA0325
9	Purine metabolism PAO1	PA3686;PA4238;PA0002
9	Aminoacyl-tRNA biosynthesis, prokaryotes	PA0963
9	Sulfur relay system PAO1	PA1505;PA3814
9	Pyrimidine metabolism PAO1	PA5337;PA3637
9	Citrate cycle (TCA cycle) PAO1	PA1588
9	Oxidative phosphorylation PAO1	PA1581;PA2638;PA1583;PA5560;PA5242;PA1582;PA1552;PA1584;PA5554
9	Lipopolysaccharide biosynthesis PAO1	PA4425;PA4406
9	Methane metabolism PAO1	PA3629;PA5110;PA1770
10	Multidrug resistance, efflux pump MexPQ-OpmE	PA3523;PA3522
10	NitT/TauT family transport system	PA2295;PA2308;PA2599;PA2296;PA2309;PA2307
10	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682;PA2086
10	Benzoate degradation PAO1	PA2507;PA0232;PA0228;PA2509;PA2508;PA2083
10	Histidine metabolism PAO1	PA5100;PA5106
10	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
10	Glycolysis, core module involving three-carbon compounds	PA3195
10	Alanine, aspartate and glutamate metabolism PAO1	PA3516;PA3517;PA2084
10	D-Methionine transport system	PA3931
10	Butanoate metabolism PAO1	PA0226;PA5445;PA0227
10	Phenazine biosynthesis PAO1	PA1001;PA0998;PA0997;PA1000
10	Glycine betaine/proline transport system	PA5103
10	Amino sugar and nucleotide sugar metabolism PAO1	PA0597
10	Putative polar amino acid transport system	PA2204;PA2203;PA4193;PA4192;PA2202;PA4195;PA4194
10	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA1179;PA1180
10	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3552
10	Sulfur metabolism PAO1	PA3442;PA3446;PA3935;PA2594;PA2310;PA3447;PA3938;PA0185;PA3443;PA2600;PA3937;PA0283;PA3444;PA2598;PA0193;PA3936;PA3448;PA0186;PA0282;PA3445;PA3449;PA0184;PA2357
11	Pyruvate metabolism PAO1	PA0482
11	Porphyrin and chlorophyll metabolism PAO1	PA2947;PA1272
11	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0650
11	beta-Lactam resistance PAO1	PA5045
11	Riboflavin metabolism PAO1	PA5281
11	Bacterial chemotaxis PAO1	PA4500
11	CusS-CusR (copper tolerance) two-component regulatory system	PA2810
11	DNA replication PAO1	PA4931
11	Glycerophospholipid metabolism PAO1	PA3584
11	Cysteine and methionine metabolism PAO1	PA3170
11	gamma-Hexachlorocyclohexane transport system	PA3213
11	Bacterial secretion system PAO1	PA0263
11	Flagellar assembly PAO1	PA1105;PA4953
11	Putative polar amino acid transport system	PA5153
11	Quorum sensing PAO1	PA3250;PA4776
11	Purine metabolism PAO1	PA4971
11	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2612
11	Glutathione metabolism PAO1	PA4401
11	Phosphonate transport system	PA3382;PA3315
11	Lipopolysaccharide biosynthesis PAO1	PA4425
11	Microcin C transport system	PA1810
11	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3227
11	Cyanoamino acid metabolism PAO1	PA1726
12	Porphyrin and chlorophyll metabolism PAO1	PA0510;PA0024
12	Tyrosine metabolism PAO1	PA0865;PA2009
12	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0025
12	Butanoate metabolism PAO1	PA2000
12	Folate biosynthesis PAO1	PA3914;PA3870
12	Quorum sensing PAO1	PA0295
12	Nitrogen metabolism PAO1	PA0524;PA0523;PA3392;PA3874;PA0519;PA3876;PA3875;PA3872
12	Oxidative phosphorylation PAO1	PA2691;PA1856
12	Lipopolysaccharide biosynthesis PAO1	PA3337
12	Sulfur metabolism PAO1	PA0518
13	Pyruvate metabolism PAO1	PA4771
13	Nicotinate and nicotinamide metabolism PAO1	PA4918;PA4919
13	Cysteine biosynthesis, serine => cysteine	PA2104
13	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA0254
13	Flagellar assembly PAO1	PA1094;PA1095;PA1092;PA1086;PA1087
13	Histidine metabolism PAO1	PA3151;PA3152
13	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3159;PA3155;PA3158;PA3156
13	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2739
13	Sulfur metabolism PAO1	PA2105
14	Fatty acid metabolism PAO1	PA3333
14	Cytochrome c oxidase, cbb3-type	PA4133
14	Thiamine metabolism PAO1	PA3814
14	Type VI secretion system	PA1657;PA1661;PA1658;PA1659
14	Glyoxylate and dicarboxylate metabolism PAO1	PA2634
14	Phenazine biosynthesis PAO1	PA4217
14	Quorum sensing PAO1	PA1002;PA0999;PA3476;PA0997;PA3724;PA0998;PA1000;PA1905;PA1001;PA0996;PA2587;PA4211;PA1003;PA1432
14	ABC-2 type transport system	PA5230
14	Sulfur metabolism PAO1	PA4130
14	Cyanoamino acid metabolism PAO1	PA2194;PA2195;PA2193
14	Putrescine transport system	PA2592
15	Pyruvate metabolism PAO1	PA5046
15	Pentose phosphate pathway PAO1	PA2263;PA2264
15	Glycine, serine and threonine metabolism PAO1	PA5419;PA5418;PA5416;PA5417
15	Valine, leucine and isoleucine degradation PAO1	PA2553;PA2014;PA2248;PA2249;PA2250;PA2012;PA3569;PA3570
15	Ribosome PAO1	PA4260;PA4568;PA4246;PA0579;PA4258;PA4563;PA5316;PA4251;PA4272;PA3656;PA4268;PA4263;PA4241;PA4264
15	Propanoate metabolism PAO1	PA3568
15	Glyoxylate and dicarboxylate metabolism PAO1	PA5522
15	Selenocompound metabolism PAO1	PA0849
15	Starch and sucrose metabolism PAO1	PA2160
15	Glycine betaine/proline transport system	PA3236
15	Amino sugar and nucleotide sugar metabolism PAO1	PA1384
15	Ribosome, bacteria	PA4433;PA3162;PA4267;PA4252;PA4249;PA4240;PA4239;PA4254;PA4242;PA4273;PA4274;PA2742;PA4248
15	Quorum sensing PAO1	PA4276;PA3364
15	Purine metabolism PAO1	PA4443;PA4865;PA1393
15	Chloroalkane and chloroalkene degradation PAO1	PA5421
15	Lipopolysaccharide biosynthesis PAO1	PA3646
15	Tryptophan metabolism PAO1	PA3366
16	beta-Lactam resistance PAO1	PA3721
16	Glycolysis / Gluconeogenesis PAO1	PA3629;PA1984
16	Type VI secretion system	PA1667
16	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA2446
16	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
16	Cysteine and methionine metabolism PAO1	PA1927
16	Phenazine biosynthesis PAO1	PA4209;PA4217
16	Histidine metabolism PAO1	PA5140
16	Fatty acid biosynthesis, initiation	PA3333
16	Amino sugar and nucleotide sugar metabolism PAO1	PA3159;PA5236
16	Quorum sensing PAO1	PA1871;PA4211;PA1130;PA1901;PA3724;PA4206;PA1902;PA2570;PA1072;PA3361;PA1904;PA1903;PA1905;PA1073;PA3478;PA3479;PA4207
16	Oxidative phosphorylation PAO1	PA4133;PA3930;PA1856
16	Sulfur metabolism PAO1	PA2566;PA4130
16	Cyanoamino acid metabolism PAO1	PA2194;PA2193
17	Porphyrin and chlorophyll metabolism PAO1	PA0510
17	Glycine, serine and threonine metabolism PAO1	PA1326;PA2445
17	Cytochrome c oxidase, cbb3-type	PA1555
17	Type VI secretion system	PA1668;PA1661
17	Glyoxylate and dicarboxylate metabolism PAO1	PA5415;PA3172;PA2444;PA2446
17	Glycerophospholipid metabolism PAO1	PA3584
17	Flagellar assembly PAO1	PA1092
17	Phenazine biosynthesis PAO1	PA0998;PA0997;PA0996
17	Folate biosynthesis PAO1	PA3870
17	Quorum sensing PAO1	PA0999;PA1001;PA1000
17	Nitrogen metabolism PAO1	PA0523;PA0524;PA3392;PA0519;PA3875;PA3876;PA3874;PA3872
17	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3552
17	Oxidative phosphorylation PAO1	PA1856
17	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3553
17	Sulfur metabolism PAO1	PA0518
17	Glycerolipid metabolism PAO1	PA3582
18	Pyruvate metabolism PAO1	PA3416;PA3417;PA2555
18	Thiamine metabolism PAO1	PA4973
18	Sulfate-sulfur assimilation	PA4443;PA4442
18	Histidine degradation, histidine => N-formiminoglutamate => glutamate	PA5098
18	Base excision repair PAO1	PA0750
18	Valine, leucine and isoleucine degradation PAO1	PA3569;PA2012;PA3570
18	Dipeptide transport system	PA4503
18	NitT/TauT family transport system	PA3514
18	Bacterial chemotaxis PAO1	PA0177;PA0178;PA0179;PA4290;PA0174;PA2573;PA0173;PA0175;PA0176
18	Propanoate metabolism PAO1	PA3568
18	Benzoate degradation PAO1	PA2507;PA0228;PA2508;PA2083;PA2553
18	Aminobenzoate degradation PAO1	PA2514;PA2512;PA3366;PA2513
18	Glyoxylate and dicarboxylate metabolism PAO1	PA5353
18	Alanine, aspartate and glutamate metabolism PAO1	PA5429
18	Styrene degradation PAO1	PA0227
18	Folate biosynthesis PAO1	PA3914;PA3870;PA3916
18	Quorum sensing PAO1	PA3364
18	Nitrogen metabolism PAO1	PA0524;PA0523;PA3874;PA3877;PA3876;PA3875;PA3872
18	Sulfur relay system PAO1	PA3917;PA3918
18	Oxidative phosphorylation PAO1	PA1317;PA1320
18	Sulfur metabolism PAO1	PA0281
19	Cysteine biosynthesis, serine => cysteine	PA2105
19	Arginine and proline metabolism PAO1	PA0219
19	Putative sorbitol/mannitol transport system	PA2339
19	Riboflavin metabolism PAO1	PA1274
19	Homologous recombination PAO1	PA3725
19	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	PA0098
19	Glyoxylate and dicarboxylate metabolism PAO1	PA2634
19	Vitamin B6 metabolism PAO1	PA5516
19	Glycerophospholipid metabolism PAO1	PA2536
19	Tryptophan biosynthesis, chorismate => tryptophan	PA3113
19	Butanoate metabolism PAO1	PA4097
19	Vancomycin resistance PAO1	PA4930
19	Putative ABC transport system	PA2858
19	Quorum sensing PAO1	PA3361
19	Glutathione metabolism PAO1	PA3083
19	Sulfur relay system PAO1	PA2103
19	2-Oxocarboxylic acid metabolism PAO1	PA5390;PA2035
19	Microcin C transport system	PA2059
19	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA4144;PA3310
19	Sulfur metabolism PAO1	PA2104
20	Degradation of aromatic compounds PAO1	PA2507;PA2508
20	Macrolide resistance, MacAB-TolC transporter	PA1179
20	Denitrification, nitrate => nitrogen	PA0524
20	Tyrosine metabolism PAO1	PA4127;PA2008;PA4121;PA2009;PA4122;PA4125;PA2007;PA4123;PA4124;PA0865
20	Ribosome PAO1	PA3600
20	Bacterial chemotaxis PAO1	PA2652;PA4310;PA4307;PA1561;PA4309
20	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
20	Benzoate degradation PAO1	PA0228
20	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
20	Cysteine and methionine metabolism PAO1	PA2105;PA2104
20	Bacterial secretion system PAO1	PA0081
20	Flagellar assembly PAO1	PA1095;PA1092
20	Styrene degradation PAO1	PA0227
20	Ribosome, bacteria	PA3601
20	Quorum sensing PAO1	PA0999;PA1001;PA1432;PA0997;PA0998
20	Fatty acid biosynthesis PAO1	PA4389
20	Type III secretion system	PA1719;PA1691;PA1722;PA1698;PA1701;PA1695;PA1697;PA1723;PA1724;PA1694;PA1716;PA1717;PA1696;PA1693;PA1692;PA1703
21	Pyruvate metabolism PAO1	PA5445;PA1984;PA3452
21	Fatty acid metabolism PAO1	PA0098
21	Multidrug resistance, efflux pump MexPQ-OpmE	PA3523
21	Thiamine metabolism PAO1	PA4973
21	Arginine and proline metabolism PAO1	PA1421
21	Glycine, serine and threonine metabolism PAO1	PA5372;PA5417;PA5418
21	Denitrification, nitrate => nitrogen	PA3875
21	Valine, leucine and isoleucine degradation PAO1	PA2247;PA0747;PA2015;PA2553;PA2013;PA2001;PA2014;PA2248;PA2000;PA2249;PA2250;PA3570;PA2012;PA1999;PA3569;PA2011
21	Tyrosine metabolism PAO1	PA0870;PA2008;PA0865;PA2007;PA2009
21	Bacterial chemotaxis PAO1	PA4307;PA4502;PA4500
21	Propanoate metabolism PAO1	PA0794;PA0795;PA0793;PA0796;PA2555
21	Benzoate degradation PAO1	PA2508
21	Histidine metabolism PAO1	PA5100;PA5106
21	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
21	Glyoxylate and dicarboxylate metabolism PAO1	PA5420;PA2445;PA2081;PA2444
21	Glycerophospholipid metabolism PAO1	PA3584
21	Cysteine and methionine metabolism PAO1	PA4773;PA2104;PA2105;PA4774
21	Alanine, aspartate and glutamate metabolism PAO1	PA3517;PA2253
21	Vancomycin resistance PAO1	PA5302
21	Glycine betaine/proline transport system	PA3236
21	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
21	Valine, leucine and isoleucine biosynthesis PAO1	PA3120
21	Quorum sensing PAO1	PA4777;PA4776
21	Nitrogen metabolism PAO1	PA0524
21	Glutathione metabolism PAO1	PA3183
21	Phenylalanine metabolism PAO1	PA0872
21	2-Oxocarboxylic acid metabolism PAO1	PA3121
21	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA3555;PA3552;PA3553;PA3557;PA3558;PA3556;PA5538
21	Glycerolipid metabolism PAO1	PA3582
21	Tryptophan metabolism PAO1	PA0447;PA2080
22	Pyruvate metabolism PAO1	PA4771
22	Glycine, serine and threonine metabolism PAO1	PA1587;PA2446;PA0400;PA5415;PA2445;PA2444
22	Type II general secretion pathway	PA0679;PA0685;PA0678;PA0683;PA0680;PA0677
22	RNA degradation PAO1	PA4385;PA4761
22	beta-Lactam resistance PAO1	PA2018;PA0958
22	Bacterial chemotaxis PAO1	PA4310;PA4307
22	Propanoate metabolism PAO1	PA1588
22	Phosphate transport system	PA5366;PA5367;PA5369;PA5368
22	Phosphonate and phosphinate metabolism PAO1	PA3378;PA3375;PA3377;PA3379
22	Aminobenzoate degradation PAO1	PA3296;PA3910;PA4163
22	Glycerophospholipid metabolism PAO1	PA3319;PA0347;PA4351
22	Bacterial secretion system PAO1	PA0681
22	Flagellar assembly PAO1	PA3526
22	Amino sugar and nucleotide sugar metabolism PAO1	PA3155;PA2022
22	Fructose and mannose metabolism PAO1	PA3540;PA2232;PA3541;PA3542;PA3547;PA3545
22	Putative polar amino acid transport system	PA2204
22	Quorum sensing PAO1	PA2569
22	Phosphonate transport system	PA3382;PA3384;PA3383
22	Citrate cycle (TCA cycle) PAO1	PA1589
22	Oxidative phosphorylation PAO1	PA1552;PA2649
23	Lysine biosynthesis PAO1	PA4188
23	Arginine and proline metabolism PAO1	PA4163;PA4189;PA4774;PA2317;PA0293;PA4773
23	Sulfate-sulfur assimilation	PA4130
23	Cytochrome c oxidase, cbb3-type	PA4133
23	Tyrosine metabolism PAO1	PA4127;PA4128;PA4122;PA4125;PA4123;PA4124;PA4121
23	NitT/TauT family transport system	PA3514
23	Ribosome PAO1	PA3600
23	Bacterial chemotaxis PAO1	PA4307
23	Glyoxylate and dicarboxylate metabolism PAO1	PA4811
23	Bacterial secretion system PAO1	PA1696
23	Flagellar assembly PAO1	PA1092
23	Butanoate metabolism PAO1	PA4180;PA4153
23	Amino sugar and nucleotide sugar metabolism PAO1	PA3559;PA5452
23	Spermidine/putrescine transport system	PA0206;PA0203
23	Quorum sensing PAO1	PA4776;PA4777
23	Nitrogen metabolism PAO1	PA1024
23	Aminoacyl-tRNA biosynthesis, prokaryotes	PA4138
23	Phenylalanine metabolism PAO1	PA4073
23	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3554;PA3555;PA3552;PA3558
23	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3556;PA3553;PA3557
23	Iron complex transport system	PA4158
23	Type III secretion system	PA1719;PA1693
24	Fatty acid metabolism PAO1	PA3300;PA2815
24	Arginine biosynthesis PAO1	PA5206
24	Pentose phosphate pathway PAO1	PA3183
24	Porphyrin and chlorophyll metabolism PAO1	PA4880
24	Putative sorbitol/mannitol transport system	PA3187
24	Type II general secretion pathway	PA4528
24	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	PA3181
24	beta-Lactam resistance PAO1	PA2019;PA2018;PA4110
24	Bacterial chemotaxis PAO1	PA2652;PA4310;PA4290
24	Glyoxylate and dicarboxylate metabolism PAO1	PA2446
24	Flagellar assembly PAO1	PA1095;PA1094;PA1092;PA1081;PA1086;PA3526
24	Fructose and mannose metabolism PAO1	PA3540;PA3547;PA3551
24	Quorum sensing PAO1	PA1874
24	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4228
24	Oxidative phosphorylation PAO1	PA0106;PA0108
24	Glycerolipid metabolism PAO1	PA2862
25	Novobiocin biosynthesis PAO1	PA2531
25	Porphyrin and chlorophyll metabolism PAO1	PA3531;PA4880
25	Macrolide resistance, MacAB-TolC transporter	PA2390;PA2389
25	Glycine, serine and threonine metabolism PAO1	PA2413
25	Ribosome PAO1	PA3600
25	Monobactam biosynthesis PAO1	PA2412
25	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA4811
25	Zinc transport system	PA2409;PA2408;PA2407
25	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
25	Citrate cycle (TCA cycle) PAO1	PA5445
25	Methane metabolism PAO1	PA4812
25	Citrate cycle (TCA cycle, Krebs cycle)	PA4470;PA1583
25	Sulfur metabolism PAO1	PA4513
25	Iron complex transport system	PA4708;PA4707;PA4706
26	Thiamine metabolism PAO1	PA3814
26	Porphyrin and chlorophyll metabolism PAO1	PA2944
26	Macrolide resistance, MacAB-TolC transporter	PA2390;PA2389
26	Leucine degradation, leucine => acetoacetate + acetyl-CoA	PA2012
26	Glycine, serine and threonine metabolism PAO1	PA0399;PA2413;PA2446;PA5415;PA2445;PA2442;PA2444
26	Valine, leucine and isoleucine degradation PAO1	PA2013
26	Bacterial chemotaxis PAO1	PA1946
26	Monobactam biosynthesis PAO1	PA2412
26	Cysteine and methionine metabolism PAO1	PA2104;PA2105
26	Zinc transport system	PA2409;PA2408;PA2407
26	Quorum sensing PAO1	PA3364
26	Nitrogen metabolism PAO1	PA0660
26	Phenylalanine metabolism PAO1	PA3165
26	2-Oxocarboxylic acid metabolism PAO1	PA5204
27	Pyruvate metabolism PAO1	PA1984;PA4771
27	Arginine biosynthesis PAO1	PA5171;PA5172
27	Degradation of aromatic compounds PAO1	PA0232;PA4486
27	Glycine, serine and threonine metabolism PAO1	PA2446
27	Tyrosine metabolism PAO1	PA5427;PA2007;PA2009;PA0865
