feature	pathway	gene_signature_definition
2	Type VI secretion system	PA0083;PA0091;PA0082;PA0077;PA0095;PA0088;PA0079;PA0084;PA0085;PA0080;PA0078;PA0090;PA0089;PA0087
2	Glycerophospholipid metabolism PAO1	PA3584
2	Cysteine and methionine metabolism PAO1	PA4774
2	Bacterial secretion system PAO1	PA1690;PA1692;PA0074;PA0081;PA0075;PA1693
2	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
2	Putative ABC transport system	PA0072
2	Quorum sensing PAO1	PA4776;PA4777;PA0295
2	Nitrogen metabolism PAO1	PA5173;PA3877;PA0519
2	Phospholipid transport system	PA4455
2	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3558;PA3556;PA3555
2	Chloroalkane and chloroalkene degradation PAO1	PA5427
2	Oxidative phosphorylation PAO1	PA1557;PA3930;PA1556;PA3929;PA1555
2	Lipopolysaccharide biosynthesis PAO1	PA3337
2	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA1179;PA3552;PA3553;PA3557;PA1180
2	Sulfur metabolism PAO1	PA0518;PA3444
2	Cyanoamino acid metabolism PAO1	PA2193
2	Taurine and hypotaurine metabolism PAO1	PA0836
3	Arginine biosynthesis PAO1	PA5171;PA5172
3	Glycine, serine and threonine metabolism PAO1	PA2444;PA2446
3	Valine, leucine and isoleucine degradation PAO1	PA2014;PA2000;PA2011
3	Tyrosine metabolism PAO1	PA2008
3	beta-Lactam resistance PAO1	PA3721
3	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4207
3	Flagellar assembly PAO1	PA1092
3	D-Methionine transport system	PA3931
3	Fatty acid biosynthesis, initiation	PA3333
3	Putative polar amino acid transport system	PA4195;PA2204;PA4193;PA4192
3	Quorum sensing PAO1	PA3476;PA4206
3	Nitrogen metabolism PAO1	PA5173;PA3392;PA0524;PA0519;PA0523
3	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
3	ABC-2 type transport system	PA2811
3	Oxidative phosphorylation PAO1	PA1856;PA1317;PA2691;PA1319;PA1318;PA1320;PA1321
3	Sulfur metabolism PAO1	PA0282;PA4443;PA3446;PA1838;PA0280;PA0283;PA0281;PA4442
4	Biotin metabolism PAO1	PA0504
4	Tyrosine metabolism PAO1	PA2009
4	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0036
4	Glycerophospholipid metabolism PAO1	PA3584
4	beta-Alanine metabolism PAO1	PA0132;PA0130;PA4774
4	Cysteine and methionine metabolism PAO1	PA4773;PA2105
4	Alanine, aspartate and glutamate metabolism PAO1	PA5429
4	Styrene degradation PAO1	PA2007
4	Butanoate metabolism PAO1	PA5445
4	Phenazine biosynthesis PAO1	PA4217
4	Histidine metabolism PAO1	PA5106
4	Flagellar assembly PAO1	PA1094;PA1086;PA1095;PA1092;PA1087
4	Glutamate/aspartate transport system	PA1341
4	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
4	Quorum sensing PAO1	PA1002;PA0999;PA0997;PA0998;PA1902;PA1000;PA1905;PA1001;PA1904;PA4776;PA4211;PA0996;PA4777
4	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
4	Phenylalanine metabolism PAO1	PA5304
4	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3554;PA3558;PA3555;PA3557
4	Oxidative phosphorylation PAO1	PA0106;PA1317;PA1319;PA1318;PA1320;PA0105;PA1321;PA0108;PA0107
4	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3556;PA3552;PA3553
4	Type III secretion system	PA1725;PA1723;PA1717
5	Thiamine metabolism PAO1	PA4051
5	Polyketide sugar unit biosynthesis PAO1	PA5162
5	Propanoate metabolism PAO1	PA3570
5	Histidine metabolism PAO1	PA3151
5	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA1224
5	Flagellar assembly PAO1	PA1095;PA1094;PA1092;PA3350;PA1086;PA1087
5	Amino sugar and nucleotide sugar metabolism PAO1	PA3159;PA3156;PA3148;PA3155;PA2232;PA3158
5	Putative polar amino acid transport system	PA4195;PA4194;PA4193;PA4192
5	Quorum sensing PAO1	PA3361
5	Purine metabolism PAO1	PA4969
5	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
5	Cyanoamino acid metabolism PAO1	PA2193
6	Biotin metabolism PAO1	PA4280
6	Putative sorbitol/mannitol transport system	PA3187
6	Type II general secretion pathway	PA0684
6	Valine, leucine and isoleucine degradation PAO1	PA0130;PA2013;PA2014;PA2011;PA2000
6	Dipeptide transport system	PA4504
6	NitT/TauT family transport system	PA2296
6	Glycolysis / Gluconeogenesis PAO1	PA1982
6	Glyoxylate and dicarboxylate metabolism PAO1	PA5420;PA4811;PA5522;PA5508
6	beta-Alanine metabolism PAO1	PA0441
6	Vanadium resistance, efflux pump MexGHI-OpmD	PA4206;PA4205
6	Alanine, aspartate and glutamate metabolism PAO1	PA5429
6	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA1976
6	Putative polar amino acid transport system	PA1260
6	Quorum sensing PAO1	PA0844
6	Aminoacyl-tRNA biosynthesis, prokaryotes	PA0009
6	Phosphonate transport system	PA3315
6	Oxidative phosphorylation PAO1	PA4430;PA5554;PA2644
6	Sulfur metabolism PAO1	PA0184
7	Pyocyanine biosynthesis, chorismate => pyocyanine	PA4209
7	Pyruvate metabolism PAO1	PA1217
7	Glycine, serine and threonine metabolism PAO1	PA0316
7	Ribosome PAO1	PA4252;PA4251;PA4272
7	Peptidoglycan biosynthesis PAO1	PA4700
7	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4208
7	Bacterial secretion system PAO1	PA3820
7	Flagellar assembly PAO1	PA1095;PA1092
7	Styrene degradation PAO1	PA2009
7	Butanoate metabolism PAO1	PA5058
7	Phenazine biosynthesis PAO1	PA4217
7	Quorum sensing PAO1	PA1874;PA1871;PA1130;PA1901;PA3724;PA4206;PA1905;PA1902;PA3477;PA2570;PA3361;PA1904;PA1903;PA4211;PA3478;PA3479;PA4207
7	Purine metabolism PAO1	PA4238
7	Sulfur metabolism PAO1	PA2566
8	Pyruvate metabolism PAO1	PA5435;PA4771
8	Pentose phosphate pathway PAO1	PA3194
8	Type II general secretion pathway	PA3105;PA3097
8	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	PA3182
8	Ribosome PAO1	PA3600
8	Tetrahydrofolate biosynthesis, GTP => THF	PA5539
8	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
8	Glycolysis, core module involving three-carbon compounds	PA3195
8	Putative ABC transport system	PA4065;PA4064
8	Quorum sensing PAO1	PA1072;PA2587
8	Glutathione metabolism PAO1	PA2813
8	Phosphonate transport system	PA3313
8	ABC-2 type transport system	PA2812;PA2811
8	Pyrimidine metabolism PAO1	PA5541
8	Oxidative phosphorylation PAO1	PA1317;PA1319;PA1318;PA1320;PA1321
8	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA5538
8	Sulfur metabolism PAO1	PA3444
8	Glycerolipid metabolism PAO1	PA2969
9	Pyruvate metabolism PAO1	PA4152
9	Lysine biosynthesis PAO1	PA4188
9	Arginine and proline metabolism PAO1	PA0293;PA4189;PA2317;PA4163
9	Putative sorbitol/mannitol transport system	PA3187
9	Sulfate-sulfur assimilation	PA4130
9	Tyrosine metabolism PAO1	PA4127;PA4128;PA4122;PA4125;PA4123;PA4124;PA4121
9	Bacterial chemotaxis PAO1	PA4307
9	Bacterial secretion system PAO1	PA1693
9	Styrene degradation PAO1	PA4073
9	Butanoate metabolism PAO1	PA4180;PA4153;PA4148
9	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
9	Quorum sensing PAO1	PA0999;PA0997;PA0427;PA0998;PA1000;PA1001
9	Nitrogen metabolism PAO1	PA1024
9	Aminoacyl-tRNA biosynthesis, prokaryotes	PA4138
9	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3555;PA3556;PA3558;PA3557
9	Oxidative phosphorylation PAO1	PA4133
9	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3554;PA3552;PA3553
9	Iron complex transport system	PA4158;PA4161
10	Macrolide resistance, MacAB-TolC transporter	PA2390;PA2389;PA1179
10	Glycine, serine and threonine metabolism PAO1	PA2413
10	Monobactam biosynthesis PAO1	PA2412
10	Type VI secretion system	PA0083;PA0091;PA0082;PA0095;PA0084;PA0078;PA0080;PA0089;PA0087
10	Aminobenzoate degradation PAO1	PA2513
10	Bacterial secretion system PAO1	PA0074;PA0081
10	Phenazine biosynthesis PAO1	PA4217;PA1902;PA4211
10	Zinc transport system	PA2409;PA2408;PA2407
10	Nitrogen metabolism PAO1	PA4202
10	Phenylalanine metabolism PAO1	PA0865;PA2531
10	Citrate cycle (TCA cycle) PAO1	PA4470
11	Porphyrin and chlorophyll metabolism PAO1	PA0510;PA0024
11	Denitrification, nitrate => nitrogen	PA3874;PA3392;PA0523;PA0519;PA0524
11	RNA degradation PAO1	PA4761
11	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0025
11	Putative polar amino acid transport system	PA4193
11	Nitrogen metabolism PAO1	PA3875;PA3872
11	Sulfur relay system PAO1	PA3870;PA3814
11	Oxidative phosphorylation PAO1	PA2691;PA1856
11	Sulfur metabolism PAO1	PA0518;PA5175
12	One carbon pool by folate PAO1	PA5228;PA0944
12	Lysine biosynthesis PAO1	PA3659
12	Pentose phosphate pathway PAO1	PA5439
12	Glycine, serine and threonine metabolism PAO1	PA1052
12	Base excision repair PAO1	PA5147
12	Tyrosine metabolism PAO1	PA2470
12	Arginine and proline metabolism PAO1	PA4189
12	beta-Lactam resistance PAO1	PA2018
12	Homologous recombination PAO1	PA4283;PA1534
12	Bacterial chemotaxis PAO1	PA1458
12	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA4975
12	Folate biosynthesis PAO1	PA3028
12	Quorum sensing PAO1	PA5317
12	Nitrogen metabolism PAO1	PA2052
12	Phenylalanine metabolism PAO1	PA3590
12	Lipopolysaccharide biosynthesis PAO1	PA5010
12	Phenylalanine biosynthesis, chorismate => phenylalanine	PA3475
12	D-Glutamine and D-glutamate metabolism PAO1	PA4662
12	Pantothenate and CoA biosynthesis PAO1	PA1598;PA0363
12	Iron complex transport system	PA4158
13	Pyruvate metabolism PAO1	PA5445;PA4771
13	Pyocyanine biosynthesis, chorismate => pyocyanine	PA1905
13	Pentose phosphate pathway PAO1	PA0607
13	Porphyrin and chlorophyll metabolism PAO1	PA5034
13	Glycine, serine and threonine metabolism PAO1	PA5419;PA2446;PA5417;PA2444
13	Tyrosine metabolism PAO1	PA4127;PA4092;PA4128;PA2009;PA4122;PA4125;PA4123;PA4124;PA4121
13	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0025
13	Nucleotide excision repair PAO1	PA5443
13	Bacterial chemotaxis PAO1	PA0174
13	Histidine metabolism PAO1	PA3151;PA5100;PA5106
13	Selenocompound metabolism PAO1	PA1927
13	Glycerophospholipid metabolism PAO1	PA3651
13	Phenazine biosynthesis PAO1	PA1904;PA4217
13	Glycine betaine/proline transport system	PA3236
13	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3159;PA3155
13	Quorum sensing PAO1	PA4910;PA4211
13	Nitrogen metabolism PAO1	PA1174;PA3876;PA3877;PA1173
13	Oxidative phosphorylation PAO1	PA0106;PA0112;PA0108;PA0105;PA0107
13	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA0920
14	Geraniol degradation PAO1	PA2891
14	Glycine, serine and threonine metabolism PAO1	PA2445;PA2444
14	Glycolysis / Gluconeogenesis PAO1	PA5427
14	Type VI secretion system	PA0078;PA0087;PA0080;PA0084;PA0082
14	Aminobenzoate degradation PAO1	PA2513
14	Bacterial secretion system PAO1	PA0081
14	Zinc transport system	PA2408
14	Histidine metabolism PAO1	PA3151;PA3152
14	Amino sugar and nucleotide sugar metabolism PAO1	PA3159;PA3155;PA3158;PA3156;PA3148
14	Putative ABC transport system	PA0072
14	Quorum sensing PAO1	PA0999;PA0997;PA0998;PA1000;PA1001;PA2570;PA1904;PA0996
14	Glutathione metabolism PAO1	PA1287
14	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
14	Lipopolysaccharide biosynthesis PAO1	PA0011
15	Degradation of aromatic compounds PAO1	PA4121;PA4123
15	Tetrahydrofolate biosynthesis, GTP => THF	PA5539
15	Histidine metabolism PAO1	PA5106
15	Bacterial secretion system PAO1	PA2685
15	Nitrogen metabolism PAO1	PA0524
15	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	PA4124;PA4122
15	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA5538
15	Type III secretion system	PA1719;PA1691;PA1698;PA1701;PA1722;PA1695;PA1690;PA1697;PA1725;PA1723;PA1724;PA1694;PA1716;PA1692;PA1717;PA1696;PA1693;PA1703
16	Pyruvate metabolism PAO1	PA1984
16	Glycine, serine and threonine metabolism PAO1	PA2446;PA5415;PA2445;PA2442;PA2444;PA2443
16	Valine, leucine and isoleucine degradation PAO1	PA2247;PA2000;PA3569;PA3570;PA2248
16	Tyrosine metabolism PAO1	PA0865;PA2007;PA2009
16	Dipeptide transport system	PA4504;PA4503
16	Propanoate metabolism PAO1	PA3568
16	Type VI secretion system	PA0083;PA1657;PA1661;PA1659;PA1666;PA0084;PA1658;PA1656;PA0080;PA1662;PA1660
16	Histidine metabolism PAO1	PA3151;PA3152;PA5098
16	Glyoxylate and dicarboxylate metabolism PAO1	PA2250;PA5355
16	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4208
16	Phenazine biosynthesis PAO1	PA4217
16	Fatty acid biosynthesis, elongation	PA3333
16	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA5452
16	Glutamate/aspartate transport system	PA5082
16	Putative polar amino acid transport system	PA5154
16	Quorum sensing PAO1	PA1002;PA0999;PA3476;PA0997;PA1901;PA3724;PA4206;PA1905;PA0998;PA1902;PA1000;PA1003;PA1001;PA1072;PA1904;PA1903;PA4211;PA1073;PA0996;PA3479;PA4207
16	Oxidative phosphorylation PAO1	PA4133;PA3930
16	Cyanoamino acid metabolism PAO1	PA2193;PA2194;PA2195
16	Putrescine transport system	PA2592
16	Putative sorbitol/mannitol transport system	PA3187
17	Arginine and proline metabolism PAO1	PA4007
17	RNA degradation PAO1	PA4385;PA4761;PA4937;PA2976;PA0336
17	beta-Lactam resistance PAO1	PA3719
17	Ribosome PAO1	PA4246;PA4257;PA4258;PA4259;PA4249;PA3656;PA4271;PA4268;PA4261;PA4273;PA4239;PA4262
17	Homologous recombination PAO1	PA4232
17	Aminoglycoside resistance, protease FtsH	PA4941;PA4751
17	Glyoxylate and dicarboxylate metabolism PAO1	PA5119
17	Thiamine metabolism PAO1	PA3814
17	Cysteine and methionine metabolism PAO1	PA1684
17	Ribosome, bacteria	PA4433;PA4568;PA3162;PA0579;PA4253;PA4240;PA4274;PA4242;PA4267;PA4264;PA4247;PA4935;PA4248
17	Purine metabolism PAO1	PA3807
17	Aminoacyl-tRNA biosynthesis PAO1	PA4483
17	Pyrimidine metabolism PAO1	PA5337
17	Citrate cycle (TCA cycle) PAO1	PA1587;PA1588;PA1582;PA1583
17	Oxidative phosphorylation PAO1	PA5559;PA5556;PA5242;PA5558
17	2-Oxocarboxylic acid metabolism PAO1	PA4694
17	Citrate cycle (TCA cycle, Krebs cycle)	PA1787;PA2623
17	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA5489
17	Putrescine transport system	PA2711
17	Glycolysis / Gluconeogenesis PAO1	PA3001;PA0555
17	Protein export PAO1	PA5068;PA5069
18	Pyruvate metabolism PAO1	PA0927
18	Porphyrin and chlorophyll metabolism PAO1	PA5523
18	Ribosome PAO1	PA5570
18	Type VI secretion system	PA2363
18	Glyoxylate and dicarboxylate metabolism PAO1	PA5119;PA4810;PA5522;PA4811
18	Phenazine biosynthesis PAO1	PA4209
18	Putative polar amino acid transport system	PA5075
18	Purine metabolism PAO1	PA1931
18	Phosphonate transport system	PA3382
18	Oxidative phosphorylation PAO1	PA1317;PA4429
19	Pentose phosphate pathway PAO1	PA3181;PA3194;PA2323;PA3182;PA2321;PA3183
19	Degradation of aromatic compounds PAO1	PA4125
19	Arginine and proline metabolism PAO1	PA4773;PA3366;PA4774;PA4839
19	Putative sorbitol/mannitol transport system	PA3187
19	Porphyrin and chlorophyll metabolism PAO1	PA2906;PA3531
19	beta-Lactam resistance PAO1	PA3721
19	Bacterial chemotaxis PAO1	PA2652
19	Propanoate metabolism PAO1	PA0793
19	Geraniol degradation PAO1	PA2893
19	Glyoxylate and dicarboxylate metabolism PAO1	PA5508;PA2445;PA2446;PA2442;PA2444
19	Flagellar assembly PAO1	PA1082
19	Amino sugar and nucleotide sugar metabolism PAO1	PA3193;PA3559
19	Putative polar amino acid transport system	PA4192
19	Quorum sensing PAO1	PA4777;PA3364;PA4776
19	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
19	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3554;PA3556
19	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	PA4124
19	Oxidative phosphorylation PAO1	PA1317
19	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3558;PA1180;PA3552;PA3553;PA1179
19	Glycerolipid metabolism PAO1	PA3582
19	Glycolysis / Gluconeogenesis PAO1	PA3195
20	Nicotinate and nicotinamide metabolism PAO1	PA4918;PA4919;PA3505
20	Cysteine biosynthesis, serine => cysteine	PA2104
20	Glycine, serine and threonine metabolism PAO1	PA3504
20	beta-Lactam resistance PAO1	PA0958
20	Dipeptide transport system	PA4503
20	NitT/TauT family transport system	PA3514;PA3513
20	Chlorocyclohexane and chlorobenzene degradation PAO1	PA3498
20	Histidine metabolism PAO1	PA3151;PA3152
20	Flagellar assembly PAO1	PA1094;PA1086;PA1095;PA1092;PA1087
20	Amino sugar and nucleotide sugar metabolism PAO1	PA3159;PA3156;PA3155;PA3158;PA3148
20	Spermidine/putrescine transport system	PA0206;PA0203
20	Quorum sensing PAO1	PA1130
20	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2739
20	Sulfur metabolism PAO1	PA2105
21	Degradation of aromatic compounds PAO1	PA4124
21	Tyrosine metabolism PAO1	PA4125
21	Dipeptide transport system	PA4500
21	Imipenem resistance, repression of porin OprD	PA0958
21	Amino sugar and nucleotide sugar metabolism PAO1	PA3156
21	Quorum sensing PAO1	PA0999;PA0997;PA0998;PA1000;PA4207;PA0996
21	Glutathione metabolism PAO1	PA2813
21	ABC-2 type transport system	PA2812;PA2811
21	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3554
21	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	PA4123
21	Oxidative phosphorylation PAO1	PA1317;PA1856
21	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3558
21	Sulfur metabolism PAO1	PA2105
22	Pyruvate metabolism PAO1	PA0887
22	Fatty acid metabolism PAO1	PA5174
22	Arginine biosynthesis PAO1	PA5172
22	Thiamine metabolism PAO1	PA3814
22	Macrolide resistance, MacAB-TolC transporter	PA2389;PA2390
22	Glycine, serine and threonine metabolism PAO1	PA2413
22	Tyrosine metabolism PAO1	PA2009
22	Bacterial chemotaxis PAO1	PA4307;PA4290
22	Monobactam biosynthesis PAO1	PA2412
22	Type VI secretion system	PA2371;PA2368
22	Selenocompound metabolism PAO1	PA0849
22	Styrene degradation PAO1	PA3366
22	Butanoate metabolism PAO1	PA5445;PA1999;PA2000
22	Zinc transport system	PA2409;PA2408;PA2407
22	Vancomycin resistance PAO1	PA4201
22	Folate biosynthesis PAO1	PA3914;PA0976
22	Putative polar amino acid transport system	PA4195;PA4192
22	Nitrogen metabolism PAO1	PA0660;PA3876;PA3877;PA4202
22	Phenylalanine metabolism PAO1	PA2531
22	Sulfur metabolism PAO1	PA4442;PA3444;PA3446
22	Glycerolipid metabolism PAO1	PA3579;PA3582
22	Tryptophan metabolism PAO1	PA4613
23	Arginine biosynthesis PAO1	PA5171;PA5172
23	Porphyrin and chlorophyll metabolism PAO1	PA0024;PA0510;PA4235
23	Glycolysis / Gluconeogenesis PAO1	PA5427
23	Bacterial chemotaxis PAO1	PA1561
23	Propanoate metabolism PAO1	PA0835
23	Type VI secretion system	PA1657
23	Glyoxylate and dicarboxylate metabolism PAO1	PA4236
23	Vitamin B6 metabolism PAO1	PA1049
23	Glycerophospholipid metabolism PAO1	PA4351
23	Purine metabolism PAO1	PA5497
23	Nitrogen metabolism PAO1	PA0524;PA0523;PA5173;PA3877;PA3876;PA0519
23	ABC-2 type transport system	PA5230
23	Oxidative phosphorylation PAO1	PA1557;PA1555;PA1556;PA3929;PA3930
23	Lipopolysaccharide biosynthesis PAO1	PA3337
23	Methane metabolism PAO1	PA0836
23	Putative spermidine/putrescine transport system	PA0295
23	Sulfur metabolism PAO1	PA0518
23	Cyanoamino acid metabolism PAO1	PA2194;PA2195;PA2193
24	Pyruvate metabolism PAO1	PA0482
24	Thiamine metabolism PAO1	PA3976
24	Degradation of aromatic compounds PAO1	PA2516
24	Porphyrin and chlorophyll metabolism PAO1	PA2947;PA1280
24	Type II general secretion pathway	PA1867
24	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0650;PA0036
24	Riboflavin metabolism PAO1	PA5281
24	Peptidoglycan biosynthesis PAO1	PA5045
24	Cysteine and methionine metabolism PAO1	PA3170;PA0546
24	Alanine, aspartate and glutamate metabolism PAO1	PA5429
24	Quorum sensing PAO1	PA4776
24	Purine metabolism PAO1	PA4971;PA4865
24	Phosphonate transport system	PA3315
24	Oxidative phosphorylation PAO1	PA1317;PA2637
25	Pyruvate metabolism PAO1	PA1217
25	Thiamine metabolism PAO1	PA4973
25	Valine, leucine and isoleucine degradation PAO1	PA0130
25	beta-Lactam resistance PAO1	PA2019
25	Bacterial chemotaxis PAO1	PA3348
25	Monobactam biosynthesis PAO1	PA2412
25	Type VI secretion system	PA1657;PA1656;PA1658
25	Glycerophospholipid metabolism PAO1	PA3584
25	Phenazine biosynthesis PAO1	PA4209;PA4217
25	Zinc transport system	PA2408
25	Fatty acid biosynthesis, initiation	PA3333
25	Quorum sensing PAO1	PA0997;PA1871;PA4211;PA0998;PA1902;PA2570;PA1002;PA3477;PA3361;PA1904;PA0996;PA3478;PA3724;PA1000;PA3479;PA0999;PA3476;PA1130;PA1901;PA1001;PA1903;PA1905;PA4207
25	Oxidative phosphorylation PAO1	PA4133
25	Lipopolysaccharide biosynthesis PAO1	PA4517
25	Sulfur metabolism PAO1	PA4130
25	Glycerolipid metabolism PAO1	PA3582
25	Cyanoamino acid metabolism PAO1	PA2194;PA2195;PA2193
25	Putrescine transport system	PA2592
26	One carbon pool by folate PAO1	PA0342;PA1796
26	Degradation of aromatic compounds PAO1	PA0480
26	RNA degradation PAO1	PA3861
26	Valine, leucine and isoleucine degradation PAO1	PA2014;PA2011
26	Tyrosine metabolism PAO1	PA0421
26	NitT/TauT family transport system	PA2599
26	Tetrahydrofolate biosynthesis, GTP => THF	PA1674
26	Vitamin B6 metabolism PAO1	PA1375
26	Mismatch repair PAO1	PA4042
26	Alanine, aspartate and glutamate metabolism PAO1	PA2828
26	Spermidine/putrescine transport system	PA0324
26	Sulfur relay system PAO1	PA0380
26	Pyrimidine metabolism PAO1	PA0444
26	Citrate cycle (TCA cycle) PAO1	PA4333
26	Oxidative phosphorylation PAO1	PA4031
26	Sulfur metabolism PAO1	PA3449;PA2600
26	Terpenoid backbone biosynthesis PAO1	PA3627;PA4569
26	Glycolysis / Gluconeogenesis PAO1	PA1982
27	Arginine biosynthesis PAO1	PA5171;PA5172
27	Porphyrin and chlorophyll metabolism PAO1	PA0510;PA4235
27	Glycolysis / Gluconeogenesis PAO1	PA5427
27	Bacterial chemotaxis PAO1	PA1561
27	Propanoate metabolism PAO1	PA0836
27	Glyoxylate and dicarboxylate metabolism PAO1	PA4236
27	Vitamin B6 metabolism PAO1	PA1049
27	Alanine, aspartate and glutamate metabolism PAO1	PA5429
27	Quorum sensing PAO1	PA0295
27	Purine metabolism PAO1	PA5497
27	Nitrogen metabolism PAO1	PA5173;PA0519;PA3877;PA0523
27	ABC-2 type transport system	PA5230
27	Phenylalanine metabolism PAO1	PA5304
27	Oxidative phosphorylation PAO1	PA1557;PA1555;PA3929;PA1556;PA3930
27	Lipopolysaccharide biosynthesis PAO1	PA3337
27	Methane metabolism PAO1	PA0835
27	Sulfur metabolism PAO1	PA0518
27	Cyanoamino acid metabolism PAO1	PA2194;PA2193
28	Pentose and glucuronate interconversions PAO1	PA2022
28	Pyruvate metabolism PAO1	PA5435
28	Pentose phosphate pathway PAO1	PA3194;PA3181;PA2321;PA3183;PA3182
28	Gluconeogenesis, oxaloacetate => fructose-6P	PA3195
28	Arginine and proline metabolism PAO1	PA1254
28	Putative sorbitol/mannitol transport system	PA3187
28	Glycine, serine and threonine metabolism PAO1	PA5417
28	Cytochrome c oxidase, cbb3-type	PA1557
28	Benzoate degradation PAO1	PA2507;PA0228;PA2508;PA2083;PA2509
28	Aminobenzoate degradation PAO1	PA2514;PA2512;PA3910;PA2513
28	Glyoxylate and dicarboxylate metabolism PAO1	PA1501
28	Glycerophospholipid metabolism PAO1	PA3584
28	Cysteine and methionine metabolism PAO1	PA3476
28	Flagellar assembly PAO1	PA1081;PA1087
