feature	pathway	gene_signature_definition
3	Folate biosynthesis PAO1	PA3028
3	Ribosome, bacteria	PA4257;PA4256;PA4249;PA4261;PA4254;PA4242;PA4274;PA2742
3	Quorum sensing PAO1	PA1303
3	Purine metabolism PAO1	PA4269
3	Citrate cycle (TCA cycle) PAO1	PA1589
3	Oxidative phosphorylation PAO1	PA5556
3	Lipopolysaccharide biosynthesis PAO1	PA2981
3	Phenylalanine biosynthesis, chorismate => phenylalanine	PA3475
3	Glycolysis / Gluconeogenesis PAO1	PA1984
3	C5-Branched dibasic acid metabolism PAO1	PA1588
4	Thiamine metabolism PAO1	PA4973
4	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	PA0530
4	Ribosome PAO1	PA5570;PA4741;PA5049
4	Histidine metabolism PAO1	PA5100
4	Alanine, aspartate and glutamate metabolism PAO1	PA5429
4	Folate biosynthesis PAO1	PA3914;PA3870
4	SagS-HptB-HsbR (swarming activity and biofilm formation) two-component regulatory system	PA1976
4	Nitrogen metabolism PAO1	PA3877;PA3875;PA2052
4	Glutathione metabolism PAO1	PA1287
4	Chloroalkane and chloroalkene degradation PAO1	PA1982
4	Oxidative phosphorylation PAO1	PA5554;PA1856
5	Pyruvate metabolism PAO1	PA0887;PA5435;PA4733
5	Lysine biosynthesis PAO1	PA3666
5	Nicotinate and nicotinamide metabolism PAO1	PA3088
5	Arginine and proline metabolism PAO1	PA0895;PA0202;PA4007
5	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0650
5	Riboflavin metabolism PAO1	PA4053
5	Ribosome PAO1	PA4255;PA5316
5	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA5063
5	Peptidoglycan biosynthesis PAO1	PA4415
5	gamma-Hexachlorocyclohexane transport system	PA3211
5	Flagellar assembly PAO1	PA1101
5	Histidine metabolism PAO1	PA4939
5	Amino sugar and nucleotide sugar metabolism PAO1	PA4450;PA5552
5	Putative ABC transport system	PA2858
5	Spermidine/putrescine transport system	PA0203
5	Quorum sensing PAO1	PA5499
5	NADH:quinone oxidoreductase, prokaryotes	PA2640
5	Pyrimidine metabolism PAO1	PA5337
5	Lipopolysaccharide biosynthesis PAO1	PA2979;PA0011
5	Microcin C transport system	PA1807
6	Pyruvate metabolism PAO1	PA5445
6	Arginine biosynthesis PAO1	PA4867
6	Nicotinate and nicotinamide metabolism PAO1	PA0196
6	Arginine and proline metabolism PAO1	PA4977
6	Glycine, serine and threonine metabolism PAO1	PA2442
6	Porphyrin and chlorophyll metabolism PAO1	PA2947
6	Riboflavin metabolism PAO1	PA5281
6	Glyoxylate and dicarboxylate metabolism PAO1	PA2444
6	Histidine metabolism PAO1	PA3151;PA3152
6	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3159
6	Quorum sensing PAO1	PA0604
6	Nitrogen metabolism PAO1	PA1024
6	Lipopolysaccharide biosynthesis PAO1	PA2981
6	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA4375
7	Fatty acid metabolism PAO1	PA3639;PA1736
7	Iron(III) transport system	PA4688
7	Nicotinate and nicotinamide metabolism PAO1	PA1602;PA3505
7	Pentose phosphate pathway PAO1	PA1950;PA2321
7	beta-Lactam resistance PAO1	PA3721
7	Propanoate metabolism PAO1	PA1535
7	Chlorocyclohexane and chlorobenzene degradation PAO1	PA3498
7	Bacterial secretion system PAO1	PA3486
7	Alanine, aspartate and glutamate metabolism PAO1	PA4588;PA5429
7	Butanoate metabolism PAO1	PA3506
7	Quorum sensing PAO1	PA3361;PA0996
7	Aminoacyl-tRNA biosynthesis, prokaryotes	PA0009
7	Phosphonate transport system	PA3315
7	Oxidative phosphorylation PAO1	PA4430;PA1554;PA2638
7	Pantothenate and CoA biosynthesis PAO1	PA4729
7	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
8	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	PA4470
8	Iron(III) transport system	PA5217;PA4688
8	Porphyrin and chlorophyll metabolism PAO1	PA3531
8	Sulfate-sulfur assimilation	PA4513
8	Ribosome PAO1	PA3600
8	Glycerophospholipid metabolism PAO1	PA3584
8	Hemophore/metalloprotease transport system	PA3405
8	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
8	NADH:quinone oxidoreductase, prokaryotes	PA2645;PA2649;PA2637
8	Iron complex transport system	PA4707;PA4708;PA4158;PA4706
9	beta-Lactam resistance PAO1	PA0958
9	Dipeptide transport system	PA4503
9	NitT/TauT family transport system	PA3514
9	Chlorocyclohexane and chlorobenzene degradation PAO1	PA3498
9	Histidine metabolism PAO1	PA3151;PA3152
9	Flagellar assembly PAO1	PA1094;PA1095;PA1092;PA1086;PA1087
9	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3159;PA3155;PA3158;PA3156
9	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2739
9	Sulfur metabolism PAO1	PA2105;PA2104
10	Nicotinate and nicotinamide metabolism PAO1	PA0195
10	Pentose phosphate pathway PAO1	PA2265;PA3181;PA3194;PA2323;PA3183;PA3182;PA2263;PA2321;PA2261
10	Putative sorbitol/mannitol transport system	PA3187
10	Tyrosine metabolism PAO1	PA2009
10	Glycolysis / Gluconeogenesis PAO1	PA3193;PA3195
10	Bacterial chemotaxis PAO1	PA4307;PA4500
10	Monobactam biosynthesis PAO1	PA2412
10	Benzoate degradation PAO1	PA2507;PA0228;PA2508
10	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
10	Glyoxylate and dicarboxylate metabolism PAO1	PA2634
10	Thiamine metabolism PAO1	PA4973
10	Cysteine and methionine metabolism PAO1	PA3476;PA1432;PA1927
10	Alanine, aspartate and glutamate metabolism PAO1	PA5429
10	Zinc transport system	PA2408
10	Histidine metabolism PAO1	PA5106
10	Folate biosynthesis PAO1	PA0976
10	Amino sugar and nucleotide sugar metabolism PAO1	PA3540
10	Fructose and mannose metabolism PAO1	PA3541
10	Quorum sensing PAO1	PA4911
10	Nitrogen metabolism PAO1	PA1024
10	Glutathione metabolism PAO1	PA4401
10	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3558
10	Microcin C transport system	PA1809
11	Pyruvate metabolism PAO1	PA4470;PA0494
11	Cytochrome c oxidase, cbb3-type	PA1856
11	Degradation of aromatic compounds PAO1	PA2507;PA4091
11	Porphyrin and chlorophyll metabolism PAO1	PA0024;PA3531
11	Iron(III) transport system	PA4687
11	Aminobenzoate degradation PAO1	PA2514;PA2512;PA3366;PA2513
11	Histidine metabolism PAO1	PA5100
11	Putative polar amino acid transport system	PA4193
11	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
11	Iron complex transport system	PA4708;PA2914
12	Pyruvate metabolism PAO1	PA5445
12	Arginine biosynthesis PAO1	PA5172
12	Degradation of aromatic compounds PAO1	PA2507
12	Porphyrin and chlorophyll metabolism PAO1	PA4880
12	Glycine, serine and threonine metabolism PAO1	PA2413
12	Valine, leucine and isoleucine degradation PAO1	PA3569;PA0747
12	NitT/TauT family transport system	PA3514
12	Glycolysis / Gluconeogenesis PAO1	PA3195
12	Bacterial chemotaxis PAO1	PA4290
12	Propanoate metabolism PAO1	PA0887;PA3570
12	Monobactam biosynthesis PAO1	PA2412
12	Type VI secretion system	PA2365;PA2366;PA2367
12	Benzoate degradation PAO1	PA2509
12	Geraniol degradation PAO1	PA2889
12	Aminobenzoate degradation PAO1	PA2514;PA2512;PA3366;PA2513
12	Selenocompound metabolism PAO1	PA1927
12	Glycerophospholipid metabolism PAO1	PA3584;PA4351
12	Catechol ortho-cleavage, catechol => 3-oxoadipate	PA2508
12	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
12	Butanoate metabolism PAO1	PA2003
12	Zinc transport system	PA2409;PA2408;PA2407
12	Imipenem resistance, repression of porin OprD	PA0958
12	Quorum sensing PAO1	PA4206;PA0604;PA3364;PA4207
12	Nitrogen metabolism PAO1	PA3876;PA0523;PA3875;PA0524
12	Methane metabolism PAO1	PA2444
12	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
12	Fatty acid biosynthesis PAO1	PA0098
13	Arginine biosynthesis PAO1	PA0296
13	Arginine and proline metabolism PAO1	PA0219
13	Porphyrin and chlorophyll metabolism PAO1	PA2947
13	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0650;PA0036
13	beta-Lactam resistance PAO1	PA5045
13	Riboflavin metabolism PAO1	PA5281
13	Type VI secretion system	PA0263
13	Vitamin B6 metabolism PAO1	PA1375
13	DNA replication PAO1	PA4232
13	Glycerophospholipid metabolism PAO1	PA3584
13	Flagellar assembly PAO1	PA1105;PA4953
13	Starch and sucrose metabolism PAO1	PA1726
13	Imipenem resistance, repression of porin OprD	PA2810
13	Putative polar amino acid transport system	PA5153
13	Quorum sensing PAO1	PA4776
13	Purine metabolism PAO1	PA4971;PA4865
13	Glutathione metabolism PAO1	PA1890
13	Lipopolysaccharide biosynthesis PAO1	PA5010;PA4425
13	Sulfur metabolism PAO1	PA2105
14	Thiamine metabolism PAO1	PA4051
14	Arginine and proline metabolism PAO1	PA4773;PA1421
14	Putative sorbitol/mannitol transport system	PA3187
14	beta-Lactam resistance PAO1	PA2019;PA2018
14	Dipeptide transport system	PA4500
14	Propanoate metabolism PAO1	PA0494
14	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA1225
14	Glycerophospholipid metabolism PAO1	PA3584
14	Amino sugar and nucleotide sugar metabolism PAO1	PA3193
14	Putative ABC transport system	PA4594
14	Putative polar amino acid transport system	PA4195;PA4194;PA4193;PA4192
14	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249;PA3558;PA3554;PA3556;PA3552
14	Cyanoamino acid metabolism PAO1	PA2444
15	Pyruvate metabolism PAO1	PA5435
15	Fatty acid metabolism PAO1	PA5174
15	Iron(III) transport system	PA4687
15	Type II general secretion pathway	PA4528
15	Denitrification, nitrate => nitrogen	PA3392
15	RNA degradation PAO1	PA4385;PA4761
15	Porphyrin and chlorophyll metabolism PAO1	PA0510
15	beta-Lactam resistance PAO1	PA3721;PA3719;PA2018
15	Glyoxylate and dicarboxylate metabolism PAO1	PA2147
15	Glycerophospholipid metabolism PAO1	PA2584
15	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4208
15	Starch and sucrose metabolism PAO1	PA2160;PA2151;PA2144;PA2163;PA2165;PA2152;PA2164;PA2162;PA2153
15	Amino sugar and nucleotide sugar metabolism PAO1	PA0597
15	Quorum sensing PAO1	PA1874;PA1901;PA3724;PA4206;PA1905;PA1902;PA3477;PA2570;PA1904;PA1903;PA4211;PA4207
15	Purine metabolism PAO1	PA5497;PA2629
15	Phenylalanine metabolism PAO1	PA5084
15	Pyrimidine metabolism PAO1	PA0401
15	Fatty acid biosynthesis PAO1	PA1609;PA2968
16	Pentose phosphate pathway PAO1	PA3194;PA3181;PA2321;PA3183;PA3182
16	Sulfate-sulfur assimilation	PA1393
16	NitT/TauT family transport system	PA3514
16	Histidine metabolism PAO1	PA3151;PA3152
16	Peptidoglycan biosynthesis PAO1	PA1959
16	Vanadium resistance, efflux pump MexGHI-OpmD	PA4206;PA4205;PA4208;PA4207
16	Styrene degradation PAO1	PA3366
16	Glycine betaine/proline transport system	PA5103
16	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3193;PA3155;PA3156;PA3559
16	Putative polar amino acid transport system	PA4194;PA4193;PA4192
16	Spermidine/putrescine transport system	PA3607
16	Glycerolipid metabolism PAO1	PA3579
16	Arginine/ornithine transport system	PA0890
16	Glycolysis / Gluconeogenesis PAO1	PA3195
17	Pyocyanine biosynthesis, chorismate => pyocyanine	PA4217
17	Pyruvate metabolism PAO1	PA5016;PA0494;PA1217
17	Biotin metabolism PAO1	PA0501
17	Pentose phosphate pathway PAO1	PA3183;PA3182
17	Arginine and proline metabolism PAO1	PA0896
17	Glycine, serine and threonine metabolism PAO1	PA3735
17	Base excision repair PAO1	PA5147
17	RNA degradation PAO1	PA4385
17	beta-Lactam resistance PAO1	PA2019;PA2018
17	NitT/TauT family transport system	PA2328;PA2329
17	Propanoate metabolism PAO1	PA0132;PA1589
17	Type VI secretion system	PA2368;PA2365;PA2366;PA2367
17	Glyoxylate and dicarboxylate metabolism PAO1	PA4810;PA3181;PA5508
17	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205;PA4208
17	Cysteine and methionine metabolism PAO1	PA1927
17	Bacterial secretion system PAO1	PA3820
17	Phenazine biosynthesis PAO1	PA4209
17	Putative polar amino acid transport system	PA5155
17	Quorum sensing PAO1	PA1874;PA1871;PA1130;PA1901;PA3724;PA4206;PA1905;PA1902;PA2570;PA3361;PA1904;PA1903;PA4211;PA1073;PA3478;PA3479;PA4207
17	Aminoacyl-tRNA biosynthesis PAO1	PA0668
17	Oxidative phosphorylation PAO1	PA4133;PA1317
17	2-Oxocarboxylic acid metabolism PAO1	PA0530;PA0904
17	Microcin C transport system	PA1809
17	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
17	Putrescine transport system	PA2592
18	Pyocyanine biosynthesis, chorismate => pyocyanine	PA4211
18	Pyruvate metabolism PAO1	PA4771
18	Fatty acid metabolism PAO1	PA2550;PA1609;PA3333;PA2968;PA5174
18	Iron(III) transport system	PA4688
18	Denitrification, nitrate => nitrogen	PA1174
18	Valine, leucine and isoleucine degradation PAO1	PA2000;PA3418;PA3570
18	Tyrosine metabolism PAO1	PA2008;PA3139;PA2009
18	Riboflavin metabolism PAO1	PA1274
18	Bacterial chemotaxis PAO1	PA1930;PA0177;PA0178;PA2920;PA0174;PA2573
18	Propanoate metabolism PAO1	PA2555
18	Histidine metabolism PAO1	PA5106;PA5100;PA5098
18	beta-Alanine metabolism PAO1	PA1687
18	Alanine, aspartate and glutamate metabolism PAO1	PA1638
18	Phenazine biosynthesis PAO1	PA1904;PA1903;PA4209;PA1905
18	Glycine betaine/proline transport system	PA5096
18	Oxidative phosphorylation PAO1	PA0106;PA0107;PA0108;PA0105;PA0112
19	Pyruvate metabolism PAO1	PA5435
19	Porphyrin and chlorophyll metabolism PAO1	PA2907
19	Sulfate-sulfur assimilation	PA4130
19	Tyrosine metabolism PAO1	PA4121
19	Ribosome PAO1	PA5316
19	Propanoate metabolism PAO1	PA4435
19	Type VI secretion system	PA0083;PA1657
19	Fatty acid degradation PAO1	PA1736
19	Alanine, aspartate and glutamate metabolism PAO1	PA3459
19	Phenazine biosynthesis PAO1	PA4217
19	Glutamate/aspartate transport system	PA1341
19	Putative ABC transport system	PA4064
19	Quorum sensing PAO1	PA1002;PA0999;PA3476;PA0997;PA0998;PA1000;PA1001;PA0996;PA4211;PA1432
19	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4226;PA4230;PA4228;PA4224
19	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	PA4122
19	Oxidative phosphorylation PAO1	PA4133
19	Cyanoamino acid metabolism PAO1	PA2193
19	Putrescine transport system	PA2711
20	Glycine, serine and threonine metabolism PAO1	PA3735
20	Base excision repair PAO1	PA0750
20	Bacterial chemotaxis PAO1	PA4307
20	Histidine metabolism PAO1	PA5106;PA5100;PA5098
20	Glyoxylate and dicarboxylate metabolism PAO1	PA5354;PA5353;PA5355
20	Catechol ortho-cleavage, catechol => 3-oxoadipate	PA0480
20	Alanine, aspartate and glutamate metabolism PAO1	PA2828
20	Folate biosynthesis PAO1	PA3914
20	Glycine betaine/proline transport system	PA5096;PA5095
20	Fructose and mannose metabolism PAO1	PA3540;PA3541;PA3545
20	Nitrogen metabolism PAO1	PA3876;PA3875;PA3874;PA3872;PA3877
20	Phenylalanine metabolism PAO1	PA3139
20	Oxidative phosphorylation PAO1	PA1552;PA1554;PA3929
20	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3310
21	Arginine biosynthesis PAO1	PA5171
21	Nicotinate and nicotinamide metabolism PAO1	PA4918;PA4919
21	Cysteine biosynthesis, serine => cysteine	PA2104
21	beta-Lactam resistance PAO1	PA2018
21	Ubiquinone and other terpenoid-quinone biosynthesis PAO1	PA0254
21	Flagellar assembly PAO1	PA1094;PA1095;PA1092;PA1086;PA1087
21	Histidine metabolism PAO1	PA3151;PA3152
21	Amino sugar and nucleotide sugar metabolism PAO1	PA3148;PA3159;PA3155;PA3158;PA3156
21	Aminoacyl-tRNA biosynthesis, prokaryotes	PA2739
21	Sulfur metabolism PAO1	PA2105
22	Pyruvate metabolism PAO1	PA4152
22	Lysine biosynthesis PAO1	PA4188
22	Nicotinate and nicotinamide metabolism PAO1	PA0196
22	Arginine and proline metabolism PAO1	PA4189;PA4163;PA0293
22	Sulfate-sulfur assimilation	PA4130
22	Base excision repair PAO1	PA4172
22	Tyrosine metabolism PAO1	PA4127;PA4128;PA4122;PA4125;PA4123;PA4124;PA4121
22	Bacterial secretion system PAO1	PA1696;PA1693
22	Styrene degradation PAO1	PA4073
22	Butanoate metabolism PAO1	PA4180;PA4153;PA4148
22	Amino sugar and nucleotide sugar metabolism PAO1	PA3559
22	Quorum sensing PAO1	PA0427;PA1430
22	Nitrogen metabolism PAO1	PA1024
22	Aminoacyl-tRNA biosynthesis, prokaryotes	PA4138
22	Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon	PA3554;PA3558;PA3556;PA3555;PA3557
22	Oxidative phosphorylation PAO1	PA4133
22	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA3552;PA3553
22	Iron complex transport system	PA4158;PA4161
23	beta-Lactam resistance PAO1	PA0958
23	Ribosome PAO1	PA4433;PA4264
23	Bacterial secretion system PAO1	PA1701
23	Glutathione metabolism PAO1	PA2813
23	ABC-2 type transport system	PA2812;PA2811
24	Tyrosine metabolism PAO1	PA0865;PA2009
24	Phenylalanine, tyrosine and tryptophan biosynthesis PAO1	PA0872;PA1001
24	beta-Lactam resistance PAO1	PA0958
24	Glycerophospholipid metabolism PAO1	PA3584
24	Fatty acid biosynthesis, initiation	PA3333
24	Glutathione metabolism PAO1	PA2813
24	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
24	ABC-2 type transport system	PA2812;PA2811
24	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
24	Sulfur metabolism PAO1	PA3444
24	Glycerolipid metabolism PAO1	PA3582
25	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	PA4470
25	Porphyrin and chlorophyll metabolism PAO1	PA4880
25	Macrolide resistance, MacAB-TolC transporter	PA2389
25	Glycine, serine and threonine metabolism PAO1	PA5415;PA2413;PA2445;PA2444;PA2446
25	Ribosome PAO1	PA3600
25	Monobactam biosynthesis PAO1	PA2412
25	Glyoxylate and dicarboxylate metabolism PAO1	PA4812
25	Zinc transport system	PA2409;PA2408;PA2407
25	Nitrogen metabolism PAO1	PA3877
25	Biosynthesis of siderophore group nonribosomal peptides PAO1	PA4225;PA4230;PA4224;PA4226;PA4228;PA4231
25	Phenylalanine metabolism PAO1	PA3366;PA2531
25	Iron complex transport system	PA4708;PA4158;PA4706;PA4159;PA4707
26	Glyoxylate and dicarboxylate metabolism PAO1	PA3181
26	Cationic antimicrobial peptide (CAMP) resistance PAO1	PA1249
26	Type III secretion system	PA1719;PA1691;PA1722;PA1701;PA1698;PA1695;PA1690;PA1697;PA1717;PA1725;PA1723;PA1724;PA1694;PA1692;PA1716;PA1696;PA1693;PA1703
27	Fatty acid metabolism PAO1	PA0182;PA1610
27	Degradation of aromatic compounds PAO1	PA3629
27	Arginine and proline metabolism PAO1	PA1254
27	Glycine, serine and threonine metabolism PAO1	PA5416;PA5379;PA1587;PA5419;PA5417;PA3710;PA0316;PA5418
27	Valine, leucine and isoleucine degradation PAO1	PA2000;PA3569;PA3570;PA2553
27	Ribosome PAO1	PA3656;PA4250;PA3745
27	Propanoate metabolism PAO1	PA3568
27	Chlorocyclohexane and chlorobenzene degradation PAO1	PA2682
27	Benzoate degradation PAO1	PA2507;PA2508;PA0447
27	Aminobenzoate degradation PAO1	PA2514;PA2512;PA2513
27	Glyoxylate and dicarboxylate metabolism PAO1	PA5420
27	Bacterial secretion system PAO1	PA3820
27	Glycine betaine/proline transport system	PA5378;PA3236
27	Ribosome, bacteria	PA4260;PA4241
27	Putative polar amino acid transport system	PA2204;PA1260
27	Quorum sensing PAO1	PA1874;PA3724;PA4909;PA0844;PA4276;PA4911;PA3364
27	Purine metabolism PAO1	PA4270;PA4238
27	Chloroalkane and chloroalkene degradation PAO1	PA5421
27	Sulfur metabolism PAO1	PA4443;PA3442;PA1838;PA3935;PA0283;PA0281;PA3444;PA3936;PA4442
27	Lysine degradation PAO1	PA1586
27	Glycolysis / Gluconeogenesis PAO1	PA1982
28	Porphyrin and chlorophyll metabolism PAO1	PA1275;PA4399
28	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	PA2083
28	Denitrification, nitrate => nitrogen	PA1174
28	Arginine and proline metabolism PAO1	PA4839
28	beta-Lactam resistance PAO1	PA4418
28	Propanoate metabolism PAO1	PA0747
28	Glyoxylate and dicarboxylate metabolism PAO1	PA4314
28	Mismatch repair PAO1	PA4946
28	Glycerophospholipid metabolism PAO1	PA3651
28	Multidrug resistance, efflux pump TriABC-TolC	PA0157
28	Cysteine and methionine metabolism PAO1	PA0546
28	Bacterial secretion system PAO1	PA2685
28	Vancomycin resistance PAO1	PA0749
28	Histidine metabolism PAO1	PA5106
28	Quorum sensing PAO1	PA0222;PA5568
28	Purine metabolism PAO1	PA1124;PA3217
28	Cyanoamino acid metabolism PAO1	PA0361;PA2193
29	Arginine biosynthesis PAO1	PA5173;PA5171;PA5172
29	Porphyrin and chlorophyll metabolism PAO1	PA0510
29	Glycolysis / Gluconeogenesis PAO1	PA5427
29	Bacterial chemotaxis PAO1	PA1561
29	Propanoate metabolism PAO1	PA0835
29	Glyoxylate and dicarboxylate metabolism PAO1	PA4236
29	Vitamin B6 metabolism PAO1	PA1049
29	Phenazine biosynthesis PAO1	PA4217
29	Nitrogen metabolism PAO1	PA0519
29	ABC-2 type transport system	PA5230
29	Oxidative phosphorylation PAO1	PA1557;PA3930;PA1556;PA3929;PA1555
29	Lipopolysaccharide biosynthesis PAO1	PA3337
29	Methane metabolism PAO1	PA0836
29	Putative spermidine/putrescine transport system	PA0295
29	Sulfur metabolism PAO1	PA0518
29	Cyanoamino acid metabolism PAO1	PA2194;PA2195;PA2193
30	Pentose phosphate pathway PAO1	PA3194;PA3183;PA3182
30	Putative sorbitol/mannitol transport system	PA3187
30	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	PA3181
30	beta-Lactam resistance PAO1	PA0958
30	Dipeptide transport system	PA4504;PA4500
30	Glycolysis / Gluconeogenesis PAO1	PA3193;PA3195
30	Vanadium resistance, efflux pump MexGHI-OpmD	PA4205
30	Bacterial secretion system PAO1	PA1696
30	Alanine, aspartate and glutamate metabolism PAO1	PA5429
30	Zinc transport system	PA2408
30	Glutamate/aspartate transport system	PA1341;PA1340
30	Quorum sensing PAO1	PA3361;PA1432
30	Glutathione metabolism PAO1	PA2826;PA1338
30	Oxidative phosphorylation PAO1	PA0106;PA2638
31	Pyruvate metabolism PAO1	PA5445;PA1984;PA4733
31	Thiamine metabolism PAO1	PA4973
31	Glycine, serine and threonine metabolism PAO1	PA5372;PA5373
